OTU ID	taxonomy	taxid	AH	CP	EP	TB
75066	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Paucibacter	318147	0.0	3.0	1.0	0.0
75527	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	40323	1.0	1.0	0.0	0.0
77051	sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	7147	0.0	0.0	0.0	1.0
77379	sk__Bacteria;k__;p__Firmicutes;c__Clostridia	186801	0.0	0.0	0.0	1.0
78745	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__Reyranella	445219	0.0	0.0	0.0	2.0
79524	sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Parapedobacter;s__Parapedobacter_indicus	1477437	1.0	0.0	0.0	0.0
83155	sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae	203494	3.0	0.0	2.0	2.0
84106	sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	186803	0.0	1.0	0.0	0.0
87198	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella	323413	1.0	0.0	0.0	0.0
87804	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	497	0.0	0.0	0.0	1.0
92267	sk__Bacteria;k__;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae	1962854	0.0	0.0	0.0	1.0
92388	sk__Eukaryota;k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Caenorhabditis	6237	0.0	1.0	0.0	0.0
92713	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	135614	0.0	0.0	0.0	1.0
93347	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria	57493	1.0	0.0	0.0	1.0
93849	sk__Bacteria;k__;p__Cyanobacteria	1117	0.0	0.0	1.0	0.0
93912	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	237	4.0	4.0	1.0	0.0
94120	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae	206379	5.0	0.0	0.0	0.0
94344	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodobiaceae;g__Parvibaculum	256616	0.0	1.0	0.0	0.0
94865	sk__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Medicago;s__Medicago_sativa	3879	0.0	0.0	0.0	1.0
95355	sk__Archaea;k__;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	2235	0.0	0.0	0.0	1.0
96747	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia	46913	3.0	0.0	0.0	2.0
96779	sk__Eukaryota;k__;p__Euglenozoa	33682	0.0	1.0	0.0	0.0
97967	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae	32011	0.0	0.0	0.0	1.0
97987	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	119060	1.0	0.0	0.0	0.0
99474	sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes	219685	2.0	0.0	0.0	1.0
99526	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium	47494	1.0	0.0	0.0	0.0
99588	sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Rufibacter	1379908	0.0	0.0	0.0	1.0
99611	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	543	0.0	0.0	0.0	1.0
100053	sk__Eukaryota	2759	2.0	5.0	4.0	2.0
100743	sk__Bacteria;k__;p__Proteobacteria;c__Acidithiobacillia	1807140	1.0	0.0	0.0	0.0
102262	sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae	1055686	2.0	0.0	0.0	0.0
102977	sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter	48463	0.0	1.0	0.0	0.0
103376	sk__Bacteria;k__;p__Candidatus_Saccharibacteria;c__;o__;f__;g__;s__TM7_phylum_sp._oral_clone_BU080	163578	0.0	1.0	0.0	0.0
103557	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	85007	1.0	0.0	0.0	0.0
104471	sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	203557	1.0	0.0	0.0	0.0
104611	sk__Bacteria;k__;p__Candidatus_Saccharibacteria;c__;o__;f__;g__;s__candidate_division_TM7_bacterium_JGI_0001002-L20	1094954	1.0	0.0	1.0	0.0
105940	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	1760	1.0	0.0	1.0	17.0
108235	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga	186650	0.0	0.0	0.0	1.0
108524	sk__Bacteria;k__;p__Bacteroidetes	976	2.0	1.0	0.0	1.0
109263	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	149698	2.0	0.0	0.0	2.0
109771	sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	1268	2.0	0.0	0.0	3.0
110343	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	171549	0.0	2.0	0.0	0.0
